Date,ave_day_ex,KOSPI,KOSDAQ
2000-01-01,5.288010869565217,1059.04,2660.0
2000-02-01,5.895833488372093,928.75,1987.6
2000-03-01,6.01237625,894.66,2811.0
2000-04-01,6.289320930232559,846.44,2044.3
2000-05-01,6.653070454545454,752.59,1667.0
2000-06-01,6.630843478260869,738.49,1468.4
2000-07-01,6.424735999999999,835.21,1545.4
2000-08-01,6.1612,727.1,1203.1
2000-09-01,7.382136097560975,692.19,1089.4
2000-10-01,6.629594782608695,589.22,903.3
2000-11-01,6.245445,548.76,763.6
2000-12-01,6.656246666666666,514.46,678.1
2001-01-01,6.021394761904762,520.95,557.0
2001-02-01,6.070033636363637,612.3,827.0
2001-03-01,6.010591914893617,559.44,719.9
2001-04-01,5.509595454545454,515.2,682.9
2001-05-01,5.66253574468085,583.7,810.0
2001-06-01,5.7475293333333335,607.07,801.1
2001-07-01,4.953155217391305,596.74,775.6
2001-08-01,4.90258,562.79,704.4
2001-09-01,5.532144000000001,541.83,615.2
2001-10-01,5.4936490909090905,500.64,550.8
2001-11-01,5.145402916666667,544.09,636.4
2001-12-01,5.29532088888889,650.66,710.3
2002-01-01,4.742449583333333,724.95,744.7
2002-02-01,5.801598421052631,742.42,759.8
2002-03-01,5.889476888888889,834.21,830.4
2002-04-01,5.732406086956522,875.83,877.0
2002-05-01,5.905490416666666,859.86,763.1
2002-06-01,5.99725023255814,804.93,698.0
2002-07-01,5.581324583333334,746.23,610.5
2002-08-01,5.940046808510638,707.8,584.2
2002-09-01,6.465471162790698,751.98,595.4
2002-10-01,6.285274583333334,652.13,475.3
2002-11-01,6.466621702127659,647.65,476.4
2002-12-01,6.533137826086957,730.16,529.5
2003-01-01,6.22605695652174,635.17,466.0
2003-02-01,6.203323255813953,600.41,441.0
2003-03-01,6.686456521739131,590.04,420.6
2003-04-01,6.689613617021276,538.56,382.5
2003-05-01,6.826089302325582,597.44,432.9
2003-06-01,7.116512272727273,648.71,476.7
2003-07-01,6.429880833333334,674.75,501.7
2003-08-01,6.833452444444444,727.26,496.6
2003-09-01,8.105277142857144,764.11,505.3
2003-10-01,7.887360416666667,704.29,451.9
2003-11-01,8.107594666666667,791.96,466.4
2003-12-01,8.220286666666667,807.39,468.5
2004-01-01,9.26200975609756,821.26,451.4
2004-02-01,8.50531911111111,854.89,444.51
2004-03-01,8.82285625,899.21,430.64
2004-04-01,9.34059,882.75,439.0
2004-05-01,9.921075714285715,866.11,452.87
2004-06-01,9.02379625,815.77,405.9
2004-07-01,8.751580833333334,778.03,383.84
2004-08-01,8.249570416666666,719.59,325.18
2004-09-01,9.919587142857143,817.36,365.74
2004-10-01,9.643952765957447,846.01,365.65
2004-11-01,9.615255,835.66,359.51
2004-12-01,9.468247346938774,876.8,376.16
2005-01-01,9.762619565217392,893.71,390.4
2005-02-01,10.73741894736842,923.69,472.74
2005-03-01,9.980208333333334,1007.48,498.55
2005-04-01,10.165557777777778,981.9,462.23
2005-05-01,9.634459583333333,918.42,426.61
2005-06-01,10.307641739130435,969.51,468.81
2005-07-01,9.887456170212767,1018.02,507.51
2005-08-01,9.72623625,1115.98,544.83
2005-09-01,10.897418222222221,1106.37,512.45
2005-10-01,11.267888000000001,1242.78,588.21
2005-11-01,10.760913333333333,1188.95,594.82
2005-12-01,10.461924897959184,1305.98,727.43
2006-01-01,10.336829333333334,1389.27,727.07
2006-02-01,10.812252727272726,1375.97,661.19
2006-03-01,11.18339375,1367.7,679.19
2006-04-01,11.373388,1379.75,677.28
2006-05-01,12.145437826086956,1434.9,687.84
2006-06-01,12.151654347826087,1295.09,612.8
2006-07-01,11.455266666666667,1294.61,589.22
2006-08-01,11.369664583333332,1287.36,550.21
2006-09-01,12.617551914893617,1356.67,577.73
2006-10-01,13.666321463414633,1374.22,596.99
2006-11-01,12.75096375,1374.35,594.7
2006-12-01,12.789059111111111,1434.36,619.76
2007-01-01,11.70523375,1435.26,608.72
2007-02-01,12.792743902439023,1382.9,582.46
2007-03-01,12.930144680851065,1414.47,606.99
2007-04-01,13.019328695652172,1459.53,651.78
2007-05-01,13.795511555555557,1553.3,682.07
2007-06-01,14.222270666666667,1716.24,742.61
2007-07-01,13.133671304347827,1771.35,784.61
2007-08-01,12.915889166666668,1856.45,789.46
2007-09-01,15.037710256410257,1881.81,778.89
2007-10-01,14.347422083333333,1962.67,803.12
2007-11-01,14.919955416666667,2063.14,809.5
2007-12-01,14.680122666666666,1902.43,736.93
2008-01-01,13.447739583333332,1853.45,707.12
2008-02-01,15.589095,1634.53,612.57
2008-03-01,15.648598260869566,1671.73,644.51
2008-04-01,15.77093625,1702.25,643.46
2008-05-01,18.317747906976745,1848.27,655.8
2008-06-01,16.935730909090907,1847.53,651.11
2008-07-01,16.3844892,1666.46,580.77
2008-08-01,16.27137911111111,1573.77,535.76
2008-09-01,16.634801333333332,1414.43,439.21
2008-10-01,15.462975,1439.67,440.95
2008-11-01,12.818496444444445,1129.08,325.56
2008-12-01,11.299120416666668,1058.62,308.2
2009-01-01,9.829490697674418,1157.4,339.76
2009-02-01,11.544159090909092,1146.95,365.77
2009-03-01,11.621179583333333,1018.81,349.71
2009-04-01,12.636045416666667,1233.36,430.97
2009-05-01,13.249447142857143,1397.92,507.01
2009-06-01,13.706403404255319,1415.1,539.56
2009-07-01,12.763384799999999,1411.66,491.17
2009-08-01,12.586794347826087,1564.98,510.56
2009-09-01,14.134345416666667,1623.06,516.27
2009-10-01,14.769579130434783,1644.63,502.55
2009-11-01,14.77895956521739,1559.09,479.25
2009-12-01,15.004009583333332,1569.72,469.04
2010-01-01,13.660184444444445,1696.14,528.09
2010-02-01,16.116781463414632,1606.44,502.0
2010-03-01,15.545391666666667,1615.12,507.96
2010-04-01,16.3754225,1719.17,519.19
2010-05-01,18.518061904761904,1721.21,519.78
2010-06-01,18.28219347826087,1630.4,488.79
2010-07-01,16.49943306122449,1686.24,489.59
2010-08-01,15.200397916666667,1782.27,481.98
2010-09-01,18.767086666666668,1764.69,469.75
2010-10-01,18.44269574468085,1876.73,495.06
2010-11-01,17.192046666666666,1914.74,527.98
2010-12-01,18.018497959183673,1929.32,502.48
2011-01-01,19.332767826086954,2070.08,518.05
2011-02-01,20.246006315789476,2072.03,524.5
2011-03-01,20.022079583333333,1928.24,503.46
2011-04-01,20.653925531914894,2121.01,532.06
2011-05-01,21.514240454545455,2228.96,516.76
2011-06-01,20.320388260869567,2141.34,483.23
2011-07-01,21.755605777777777,2125.74,484.11
2011-08-01,19.08002541666667,2172.31,544.39
2011-09-01,21.14134772727273,1880.7,490.22
2011-10-01,20.717102222222223,1706.19,436.13
